City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Sibu,MY,72.59,2.3,111.8167,RH HOTEL (4 Star)
3,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
4,Shorewood,US,68.76,41.52,-88.2017,Wingate by Wyndham Joliet
7,Saint-Philippe,RE,71.15,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Mahebourg,MU,73.26,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Yulara,AU,67.84,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
16,Bambous Virieux,MU,73.65,-20.3428,57.7575,Casa Tia Villa
19,Namibe,AO,65.39,-15.1961,12.1522,Hotel Chik Chik Namibe
24,Vao,NC,72.72,-22.6667,167.4833,Hotel Kou-Bugny
25,Dauphin,CA,68.7,51.1494,-100.0502,Canway Inn & Suites
27,Saint-Pierre,RE,71.24,-21.3393,55.4781,Lindsey Hôtel
30,Georgetown,MY,78.89,5.4112,100.3354,Cititel Penang
36,Atuona,PF,78.06,-9.8,-139.0333,Villa Enata
40,Omboue,GA,76.51,-1.5746,9.2618,Hotel Olako
41,San Quintin,MX,72.91,30.4833,-115.95,Don Eddie's Sport Fishing Center
42,Benguela,AO,73.87,-12.5763,13.4055,Hotel Praia Morena
46,Arraial Do Cabo,BR,73.36,-22.9661,-42.0278,Pousada Porto Praia
49,Rikitea,PF,75.63,-23.1203,-134.9692,People ThankYou
50,Havelock,US,70.99,34.8791,-76.9013,Sherwood Motel
54,Puerto Ayora,EC,73.54,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Axim,GH,79.5,4.8699,-2.2405,Axim Beach Resort And Spa
57,Kasongo-Lunda,CD,71.78,-6.4667,16.8167,
61,Hambantota,LK,79.9,6.1241,81.1185,Bungalow 63
62,Meulaboh,ID,75.96,4.1363,96.1285,Kost Pria
65,Teguise,ES,71.82,29.0605,-13.564,B&B La Casona de Nazaret
66,Ukiah,US,68.52,39.1502,-123.2078,Hampton Inn Ukiah
69,Paka,MY,76.98,4.6374,103.4368,RUMBIA RESORT VILLA
75,Bengkulu,ID,75.29,-3.8004,102.2655,Grage Hotel Bengkulu
77,Avera,US,70.75,33.194,-82.5271,
79,Guerrero Negro,MX,78.13,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
89,Hilo,US,78.28,19.7297,-155.09,Hilo Hawaiian Hotel
90,Morgan City,US,73.99,29.6994,-91.2068,Hampton Inn & Suites Morgan City
92,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
94,Birao,CF,74.55,10.2849,22.7882,
98,Muros,ES,68.85,42.7762,-9.0603,Apartment Av. Castelao
105,Souillac,MU,73.36,-20.5167,57.5167,Shanti Maurice Resort & Spa
107,Karratha,AU,68.85,-20.7377,116.8463,ibis Styles Karratha
108,Viedma,AR,65.07,-40.8135,-62.9967,Hotel Cristal
110,Koumac,NC,75.9,-20.5667,164.2833,Le Monitel
112,Muleba,TZ,70.77,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
113,Billings,US,72.52,45.7833,-108.5007,Best Western Plus Clocktower Inn
118,Malia,GR,66.81,35.2833,25.4667,Kalypso Hotel
122,Gasa,PS,73.9,31.5,34.4667,رابطة الفنانين الفلسطينيين
123,Kapit,MY,73.38,2.0167,112.9333,Hotel Meligai Kapit
124,Rajgarh,IN,72.37,28.6333,75.3833,Nand Plaza Hotel & Bar
127,Winnemucca,US,71.65,40.973,-117.7357,Winners Inn Casino
133,Mae Ramat,TH,72.27,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
135,Soyo,AO,76.57,-6.1349,12.3689,Hotel Mpampa
137,Gamba,GA,76.64,-2.65,10.0,
139,Pizarro,CO,78.8,4.9533,-77.366,Hotel Limonar
141,Vanimo,PG,77.77,-2.6741,141.3028,Vahmoneh Lodge Vanimo
143,Mandiana,GN,79.29,10.6333,-8.6833,Motels rouzo
147,Honiara,SB,78.62,-9.4333,159.95,Heritage Park Hotel
149,Ribeira Grande,PT,72.0,38.5167,-28.7,Quinta da Meia Eira
150,Aracaju,BR,79.99,-10.9111,-37.0717,HOTEL FÊNIX
152,Dingle,PH,75.97,10.9995,122.6711,SEGAYA PROPERTY
158,Port-Gentil,GA,78.35,-0.7193,8.7815,Fengshui Residence
159,Namatanai,PG,79.99,-3.6667,152.4333,Seagulls Inn Namatani
160,Rafai,CF,70.12,4.95,23.9167,
162,Atuntaqui,EC,66.02,0.3333,-78.2167,Pucara Guest House
164,Alta Floresta,BR,77.7,-9.8756,-56.0861,Floresta Amazonica Hotel
171,Caravelas,BR,78.62,-17.7125,-39.2481,Pousada dos Navegantes
176,Sorong,ID,79.83,-0.8833,131.25,waigo splash hotel
178,Tra Vinh,VN,75.67,9.9347,106.3453,Hồng Ân
182,Lagoa,PT,69.76,39.05,-27.9833,Casa Das Faias
184,Luwuk,ID,77.86,-0.9516,122.7875,Hotel Santika Luwuk
188,Arya,PK,72.48,33.6,73.0667,Hotel Akbar International
189,Lompoc,US,76.01,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
190,Grand Gaube,MU,73.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
191,Innisfail,AU,73.72,-17.5333,146.0333,Moondarra Motel
196,Poum,NC,75.56,-20.2333,164.0167,Gîte kajeon
201,Buta,CD,70.57,2.7858,24.73,HOTEL BISO NA BISO
203,Bereda,ES,67.01,43.2686,-7.5406,Pazo de Verdes
210,Ambovombe,MG,72.66,-25.1667,46.0833,RELAHARA
215,Victoria,HK,72.25,22.2855,114.1577,Mini Hotel Central
217,San Cristobal,VE,77.9,7.7669,-72.225,Posada Villaven C.A.
221,Yeppoon,AU,71.38,-23.1333,150.7333,Villa Mar Colina
222,Porbandar,IN,79.93,21.6422,69.6093,Lords Inn Porbandar
227,Tura,IN,72.88,25.5198,90.2201,Hotel RIKMAN Continental
229,Tuy Hoa,VN,77.16,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
236,Neepawa,CA,67.82,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
237,Ponta Do Sol,PT,72.23,32.6667,-17.1,Hotel do Campo
244,Barkhan,PK,66.74,29.8977,69.5256,Sardar
253,Hirara,JP,75.49,24.8,125.2833,Hotel Atoll Emerald Miyakojima
254,Alfenas,BR,75.0,-21.4292,-45.9472,Hotel Plaza
255,Sibiti,CG,72.0,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
256,Salalah,OM,78.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
257,Sao Joao Da Barra,BR,73.49,-21.6403,-41.0511,Pousada Porto De Canoas
