City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,-46.2817,169.8464,49.68,95,100,5.86
1,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.19,51,4,7.29
2,Sibu,MY,2.3,111.8167,72.59,96,92,2.01
3,Vaini,TO,-21.2,-175.2,75.36,88,40,9.22
4,Shorewood,US,41.52,-88.2017,68.76,40,1,11.5
5,Kapaa,US,22.0752,-159.319,80.58,76,100,5.01
6,Yarada,IN,17.65,83.2667,80.92,100,75,2.3
7,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,46,14.7
8,Ushuaia,AR,-54.8,-68.3,45.77,83,100,8.9
9,Mahebourg,MU,-20.4081,57.7,73.26,75,47,16.78
10,Port Elizabeth,ZA,-33.918,25.5701,54.1,93,90,8.05
11,Hermanus,ZA,-34.4187,19.2345,54.9,63,58,5.32
12,Dunedin,NZ,-45.8742,170.5036,55.8,81,100,1.99
13,Saldanha,ZA,-33.0117,17.9442,57.99,77,0,14.9
14,Haines Junction,CA,60.7522,-137.5108,19.35,73,61,2.3
15,Yulara,AU,-25.2406,130.9889,67.84,28,6,4.61
16,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,12.66
17,Faanui,PF,-16.4833,-151.75,80.11,78,2,17.0
18,Mataura,NZ,-46.1927,168.8643,49.6,99,100,6.24
19,Namibe,AO,-15.1961,12.1522,65.39,90,37,5.26
20,Kathu,TH,7.9178,98.3332,85.69,87,87,9.53
21,Hasaki,JP,35.7333,140.8333,50.4,58,72,20.8
22,Kodiak,US,57.79,-152.4072,41.29,98,100,36.13
23,Upernavik,GL,72.7868,-56.1549,23.14,54,100,4.9
24,Vao,NC,-22.6667,167.4833,72.72,88,4,11.52
25,Dauphin,CA,51.1494,-100.0502,68.7,30,4,9.06
26,Miquelon,PM,47.0975,-56.3814,50.14,81,100,8.72
27,Saint-Pierre,RE,-21.3393,55.4781,71.24,76,0,4.61
28,Cabedelo,BR,-6.9811,-34.8339,83.07,73,66,13.49
29,Punta Arenas,CL,-53.15,-70.9167,50.11,66,100,25.46
30,Georgetown,MY,5.4112,100.3354,78.89,92,20,0.0
31,Chuy,UY,-33.6971,-53.4616,60.94,53,2,8.72
32,Boguchany,RU,58.3814,97.4531,31.14,94,41,2.71
33,Zalantun,CN,48.0,122.7167,27.09,69,77,6.26
34,Hobart,AU,-42.8794,147.3294,50.05,80,75,1.99
35,Cayenne,GF,4.9333,-52.3333,87.84,79,75,3.0
36,Atuona,PF,-9.8,-139.0333,78.06,77,81,18.63
37,Bobrovka,RU,54.047,61.7455,46.78,60,95,5.79
38,Hofn,IS,64.2539,-15.2082,36.16,98,100,22.06
39,Kolokani,ML,13.5728,-8.0339,83.66,36,89,5.61
40,Omboue,GA,-1.5746,9.2618,76.51,84,87,7.49
41,San Quintin,MX,30.4833,-115.95,72.91,50,100,11.52
42,Benguela,AO,-12.5763,13.4055,73.87,77,56,1.01
43,Galle,LK,6.0367,80.217,80.13,85,95,19.28
44,Geraldton,AU,-28.7667,114.6,48.61,87,0,12.66
45,Kendal,GB,54.3268,-2.7476,58.59,93,100,6.46
46,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,75,9.22
47,Nemuro,JP,43.3236,145.575,41.81,70,3,15.21
48,Talnakh,RU,69.4865,88.3972,34.27,100,100,6.38
49,Rikitea,PF,-23.1203,-134.9692,75.63,73,8,13.89
50,Havelock,US,34.8791,-76.9013,70.99,47,0,5.99
51,Carutapera,BR,-1.195,-46.02,83.71,69,14,9.15
52,Butaritari,KI,3.0707,172.7902,81.41,73,12,12.12
53,Cape Town,ZA,-33.9258,18.4232,57.27,63,0,11.5
